userId,movieId,movieRating,timestamp
4,19927,4,24.02.2022 14:31:57
5,1687,5,24.02.2022 14:55:48
4,19812,2,24.02.2022 21:20:34
4,6260,5,03.03.2022 12:59:07
4,409,5,03.03.2022 15:21:01
